TIME,CASQ, CIFQ, CIFQ A, CIFQ I, CIFQ M, CTAQ, DEPQ, DEPQ A, DEPQ I, DEPQ M, DP1Q, DP1Q A, DP1Q I, DP1Q M, DP2Q, DP2Q A, DP2Q I, DP2Q M, DP3Q, DP4Q, DP4Q A, DP4Q I, DP4Q M, DP5Q, DP6Q, DP7Q, DP8Q, DP9Q, GL1Q, EQ1Q, ELMQ, GENQ, GENQ A, GENQ I, GENQ M, LONQ, OLRQ, ONLQ, PF1Q, PFMQ, RESPQ, SBRQ, SDVQ, SPYQ, VPIQ, VV1Q, VV2Q, VV3Q, ARCQ, CC1Q, KCCQ, FA1Q, SFDQ, CRCQ, BLTQ, BL1Q
00:04:40,0,0,0,0,0,NQKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NQKE,NQKE,0,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,179
01:24:03,0,171,0,0,0,NQKE,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NQKE,NQKE,0,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,0
03:17:09,0,43,0,0,0,NQKE,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,NQKE,NQKE,1,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,40
03:17:20,0,53,0,0,0,NQKE,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,NQKE,NQKE,1,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,73
03:17:32,0,69,0,0,0,NQKE,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,NQKE,NQKE,2,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,307
03:17:43,0,100,0,0,6,NQKE,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,NQKE,NQKE,2,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,524
03:17:55,0,119,0,0,6,NQKE,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,NQKE,NQKE,2,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,760
03:18:06,0,153,0,0,7,NQKE,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,NQKE,NQKE,2,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,909
03:18:18,0,168,0,0,24,NQKE,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,NQKE,NQKE,3,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,1027
03:18:29,0,190,0,0,21,NQKE,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0,0,NQKE,NQKE,4,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,1036
03:18:41,0,215,0,0,26,NQKE,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,0,0,NQKE,NQKE,4,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,1036
03:18:52,0,217,0,0,26,NQKE,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,NQKE,NQKE,4,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,1036
03:19:04,0,215,0,0,20,NQKE,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,NQKE,NQKE,5,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,1036
03:19:15,0,221,0,0,24,NQKE,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,NQKE,NQKE,5,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,1036
03:19:27,0,236,0,0,17,NQKE,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,NQKE,NQKE,6,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,1036
03:19:38,0,210,0,0,8,NQKE,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,NQKE,NQKE,6,NQKE,0,NQKE,0,0,NQKE,NQKE,NQKE,NQKE,0,NQKE,NQKE,NQKE,NQKE,0,1036
